,address,categories,city,country,latitude,longitude,name,postalCode,province,websites
80,962 Garnet Ave,Fast Food Restaurants,San Diego,US,32.797188,-117.2525,Filippi's Pizza Grotto,92109,CA,"http://www.realcheesepizza.com,http://www.realcheesepizza.com/web/locations/pb.html"
81,7011 Barker Cypress Rd,Fast food restaurants,Cypress,US,29.88081,-95.683922,Burger King,77433,TX,http://www.bk.com
82,7011 Barker Cypress Rd,Fast Food Restaurant and Burger Joint,Cypress,US,29.88081,-95.683922,Burger King,77433,TX,http://www.bk.com
83,2180 Contra Costa Blvd,Fast Food Restaurant,Pleasant Hill,US,37.946879,-122.060174,Boston Market,94523,CA,"http://www.bostonmarket.com,https://bostonmarket.com/location/pleasant-hill-ca-1961/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=1961"
84,3035 Castro Valley Blvd,Fast Food,Castro Valley,US,37.695437,-122.081735,Jack in the Box,94546,CA,"http://www.jackinthebox.com,http://www.jackinthebox.com/"
85,4302 Moorpark Ave,Fast Food,San Jose,US,37.315904,-121.977843,Round Table Pizza,95129,CA,"http://www.roundtablepizza.com/,http://roundtablepizza.com"
86,1751 S Alameda St,Fast Food Restaurants,Compton,US,33.894566,-118.220228,El Pollo Loco,90220,CA,http://www.elpolloloco.com
87,2244 Otay Lakes Rd,Fast Food Restaurant,Chula Vista,US,32.646857,-116.967527,Arby's,91915,CA,"http://www.arbys.com,https://locations.arbys.com/us/ca/chula-vista/2244-otay-lakes-rd.html,http://www.arbys.com/"
88,962 East Ave,Fast food restaurants,Chico,US,39.76117,-121.842187,Burger King,95926,CA,"https://locations.bk.com/ca/chico/962-east-ave.html,http://www.bk.com"
89,1170 W Branch St,Fast Food Restaurants,Arroyo Grande,US,35.1273,-120.598,In-N-Out Burger,93420,CA,http://www.in-n-out.com
90,73196 Highway 111,Fast Food Restaurants,Palm Desert,US,33.72118,-116.38791,Copper Oven Artisan Pizza,92260,CA,http://copperovenartisanpizza.com
91,20900 Roscoe Blvd,Fast Food Restaurant,Canoga Park,US,34.218957,-118.58903,Carl's Jr,91304,CA,"http://www.carlsjr.com,http://www.carlsjr.com/"
